Microwave II/XT/PC Factory Sounds June 1998	
7	Drum Kitty 1  RP
8	Drum Kitty 2  RP
9	Mellow Arp   WMF
10	Bad Guy      WMF
11	Digidamdoo   WMF
12	Kimono       WMF
13	Kimono 6/8   WMF
14	Init Multi V1.0 
15	Init Multi V1.0 
16	Init Multi V1.0 
17	Init Multi V1.0 
18	Init Multi V1.0 
19	Init Multi V1.0 
20	Init Multi V1.0 
21	Init Multi V1.0 
22	Init Multi V1.0 
23	Init Multi V1.0 
24	Init Multi V1.0 
25	Init Multi V1.0 
26	Init Multi V1.0 
27	Init Multi V1.0 
28	Init Multi V1.0 
29	Init Multi V1.0 
30	Init Multi V1.0 
31	Init Multi V1.0 
32	Init Multi V1.0 
33	Init Multi V1.0 
34	Init Multi V1.0 
35	Init Multi V1.0 
36	Init Multi V1.0 
37	Init Multi V1.0 
38	Init Multi V1.0 
39	Init Multi V1.0 
40	Init Multi V1.0 
41	Init Multi V1.0 
42	Init Multi V1.0 
43	Init Multi V1.0 
44	Init Multi V1.0 
45	Init Multi V1.0 
46	Init Multi V1.0 
47	Init Multi V1.0 
48	Init Multi V1.0 
49	Init Multi V1.0 
50	Init Multi V1.0 
51	Init Multi V1.0 
52	Init Multi V1.0 
53	Init Multi V1.0 
54	Init Multi V1.0 
55	Init Multi V1.0 
56	Init Multi V1.0 
57	Init Multi V1.0 
58	Init Multi V1.0 
59	Init Multi V1.0 
60	Init Multi V1.0 
61	Init Multi V1.0 
62	Init Multi V1.0 
63	Init Multi V1.0 
64	Init Multi V1.0 
65	Init Multi V1.0 
66	Init Multi V1.0 
67	Init Multi V1.0 
68	Init Multi V1.0 
69	Init Multi V1.0 
70	Init Multi V1.0 
71	Init Multi V1.0 
72	Init Multi V1.0 
73	Init Multi V1.0 
74	Init Multi V1.0 
75	Init Multi V1.0 
76	Init Multi V1.0 
77	Init Multi V1.0 
78	Init Multi V1.0 
79	Init Multi V1.0 
80	Init Multi V1.0 
81	Init Multi V1.0 
82	Init Multi V1.0 
83	Init Multi V1.0 
84	Init Multi V1.0 
85	Init Multi V1.0 
86	Init Multi V1.0 
87	Init Multi V1.0 
88	Init Multi V1.0 
89	Init Multi V1.0 
90	Init Multi V1.0 
91	Init Multi V1.0 
92	Init Multi V1.0 
93	Init Multi V1.0 
94	Init Multi V1.0 
95	Init Multi V1.0 
96	Init Multi V1.0 
97	Init Multi V1.0 
98	Init Multi V1.0 
99	Init Multi V1.0 
100	Init Multi V1.0 
101	Init Multi V1.0 
102	Init Multi V1.0 
103	Init Multi V1.0 
104	Init Multi V1.0 
105	Init Multi V1.0 
106	Init Multi V1.0 
107	Init Multi V1.0 
108	Init Multi V1.0 
109	Init Multi V1.0 
110	Init Multi V1.0 
111	Init Multi V1.0 
112	Init Multi V1.0 
113	Init Multi V1.0 
114	Init Multi V1.0 
115	Init Multi V1.0 
116	Init Multi V1.0 
117	Init Multi V1.0 
118	Init Multi V1.0 
119	Init Multi V1.0 
120	Init Multi V1.0 
121	Init Multi V1.0 
122	Init Multi V1.0 
123	Init Multi V1.0 
124	Init Multi V1.0 
125	Init Multi V1.0 
126	Init Multi V1.0 
127	Init Multi V1.0 
128	MIDI Multi   WMF
